period;LOC;lat;lon;Filename
Post-Agreement (2017-2022);Abrego, Norte de Santander;8.082246099999999;-73.13496049999999;5
Post-Agreement (2017-2022);Acacias, Meta;3.991663;-73.76612899999999;28
Post-Agreement (2017-2022);Achí, Cauca;2.57301;-76.77915999999999;16
Post-Agreement (2017-2022);Aguazul, Casanare;5.170847;-72.55081899999999;15
Post-Agreement (2017-2022);Algarrobo, Magdalena;10.10004;-74.26662999999999;1
Post-Agreement (2017-2022);Algeciras, Huila;2.523286;-75.3156229;17
Post-Agreement (2017-2022);Alto Baudo, Chocó;5.516347;-76.974502;8
Post-Agreement (2017-2022);Altos del Rosario, Bolívar;8.7931714;-74.1608708;3
Post-Agreement (2017-2022);Andes, Antioquia;5.656421;-75.879654;4
Post-Agreement (2017-2022);Apartadó, Antioquia;7.882760999999999;-76.624692;7
Post-Agreement (2017-2022);Aracataca, Magdalena;10.591925;-74.186103;24
Post-Agreement (2017-2022);Arauca, Arauca;6.547306;-71.0022311;20
Post-Agreement (2017-2022);Arauquita, Arauca;7.029334;-71.4294759;16
Post-Agreement (2017-2022);Arenal, Bolívar;8.45917;-73.94093;8
Post-Agreement (2017-2022);Argelia, Cauca;2.3611583;-77.2405153;7
Post-Agreement (2017-2022);Arjona, Bolívar;10.252471;-75.347308;3
Post-Agreement (2017-2022);Armenia, Risaralda;4.97586;-75.75666;21
Post-Agreement (2017-2022);Astrea, Magdalena;9.499569752906764;-73.97463916706934;18
Post-Agreement (2017-2022);Ataco, Tolima;3.591068;-75.381727;6
Post-Agreement (2017-2022);Atrato Medio, Chocó;5.989716400000001;-76.7336521;11
Post-Agreement (2017-2022);Atrato, Chocó;5.5549057;-76.6181655;6
Post-Agreement (2017-2022);Bahía Solano, Chocó;6.222551999999999;-77.40115399999999;2
Post-Agreement (2017-2022);Bajo Baudó, Chocó;5.3442678;-77.2864879;10
Post-Agreement (2017-2022);Balboa, Cauca;2.0409787;-77.2164114;5
Post-Agreement (2017-2022);Baraya, Huila;3.151685;-75.054209;2
Post-Agreement (2017-2022);Barbacoas, Nariño;1.5635978;-78.0195387;2
Post-Agreement (2017-2022);Barrancabermeja, Antioquia;6.816669999999999;-74.0833;18
Post-Agreement (2017-2022);Barranco de Loba, Bolívar;8.948135;-74.106454;3
