categoria;LOC;lat;lon;Filename
Pequeños Grupos Ilegales;Acacias, Meta;3.991663;-73.76612899999999;1
Pequeños Grupos Ilegales;Achí, Cauca;2.57301;-76.77915999999999;1
Pequeños Grupos Ilegales;Algeciras, Huila;2.523286;-75.3156229;1
Pequeños Grupos Ilegales;Apartadó, Antioquia;7.882760999999999;-76.624692;1
Pequeños Grupos Ilegales;Aracataca, Magdalena;10.591925;-74.186103;11
Pequeños Grupos Ilegales;Arauca, Arauca;6.547306;-71.0022311;1
Pequeños Grupos Ilegales;Arenal, Bolívar;8.45917;-73.94093;1
Pequeños Grupos Ilegales;Arjona, Bolívar;10.252471;-75.347308;2
Pequeños Grupos Ilegales;Armenia, Quindío;4.535000399999999;-75.6756888;1
Pequeños Grupos Ilegales;Armenia, Risaralda;4.97586;-75.75666;2
Pequeños Grupos Ilegales;Ataco, Tolima;3.591068;-75.381727;1
Pequeños Grupos Ilegales;Baraya, Huila;3.151685;-75.054209;1
Pequeños Grupos Ilegales;Barranquilla, Atlántico;11.0041072;-74.80698129999999;3
Pequeños Grupos Ilegales;Bello, Cesar;10.40944718982188;-73.58981210668578;1
Pequeños Grupos Ilegales;Bogotá D.C., Bogotá;4.710988599999999;-74.072092;10
Pequeños Grupos Ilegales;Bogotá. D.C, Bogotá;4.710988599999999;-74.072092;2
Pequeños Grupos Ilegales;Bolívar, Bolívar;8.6704382;-74.0300122;2
Pequeños Grupos Ilegales;Bolívar, Quindío;4.4610191;-75.667356;1
Pequeños Grupos Ilegales;Bucaramanga, Antioquia;7.119349;-73.1227416;1
Pequeños Grupos Ilegales;Calamar, Guaviare;1.920614;-72.554237;2
Pequeños Grupos Ilegales;Calarcá, Quindío;4.5266936;-75.64095739999999;1
Pequeños Grupos Ilegales;Cali, Valle del Cauca;3.4516467;-76.5319854;1
Pequeños Grupos Ilegales;Caloto, Cauca;3.0358187;-76.40786659999999;1
Pequeños Grupos Ilegales;Campoalegre, Huila;2.6851058;-75.3266416;1
Pequeños Grupos Ilegales;Cantagallo, Quindío;4.4610191;-75.667356;1
Pequeños Grupos Ilegales;Caracolí, Antioquia;6.408748999999999;-74.7576179;2
Pequeños Grupos Ilegales;Cartagena, Bolívar;10.3932277;-75.4832311;2
Pequeños Grupos Ilegales;Cerrito, Valle del Cauca;3.684084;-76.312996;1
Pequeños Grupos Ilegales;Chaguaní, Cundinamarca;4.9493414;-74.5938658;1
Pequeños Grupos Ilegales;Chaparral, Tolima;3.7440073;-75.5742467;2
Pequeños Grupos Ilegales;Chimichagua, Cesar;9.258032300000002;-73.8142384;1
Pequeños Grupos Ilegales;Circasia, Quindío;4.616093999999999;-75.635595;1
Pequeños Grupos Ilegales;Ciudad Bolívar, Bolívar;5.851450055027782;-76.02167748047562;1
Pequeños Grupos Ilegales;Ciénaga, Magdalena;11.007984;-74.248926;11
Pequeños Grupos Ilegales;Coveñas, Sucre;9.403439;-75.68008669999999;2
Pequeños Grupos Ilegales;Cumbitara, Nariño;1.6479737;-77.57850549999999;1
Pequeños Grupos Ilegales;Curumaní, Cesar;9.201062;-73.5425659;1
Pequeños Grupos Ilegales;Cúcuta, Norte de Santander;7.8890971;-72.4966896;1
Pequeños Grupos Ilegales;Dibulla, La Guajira;11.2724671;-73.3094943;1
Pequeños Grupos Ilegales;Dosquebradas, Risaralda;4.8318256;-75.68056779999999;4
Pequeños Grupos Ilegales;El Cairo, Valle del Cauca;4.760770400000001;-76.2216962;1
Pequeños Grupos Ilegales;El Charco, Nariño;2.479311;-78.11021099999999;2
Pequeños Grupos Ilegales;El Doncello, Caquetá;1.680042;-75.2833349;1
Pequeños Grupos Ilegales;El Retorno, Guaviare;2.331899;-72.62812699999999;2
Pequeños Grupos Ilegales;El Retén, Magdalena;10.611793;-74.26938299999999;3
Pequeños Grupos Ilegales;El Rosario, Nariño;1.742897;-77.33513239999999;1
Pequeños Grupos Ilegales;El Tarra, Norte de Santander;8.57451;-73.09339;1
Pequeños Grupos Ilegales;Florida, Valle del Cauca;3.3213339;-76.235361;2
Pequeños Grupos Ilegales;Floridablanca, Antioquia;6.2476598;-75.565816;1
Pequeños Grupos Ilegales;Frontino, Antioquia;6.772999899999999;-76.1313454;1
Pequeños Grupos Ilegales;Fundación, Magdalena;10.517179;-74.1819979;11
Pequeños Grupos Ilegales;Galapa, Atlántico;10.8996383;-74.88618819999999;3
Pequeños Grupos Ilegales;Girón, Antioquia;6.2476598;-75.565816;1
Pequeños Grupos Ilegales;Granada, Meta;3.5436442;-73.7028107;1
Pequeños Grupos Ilegales;Guadalajara de Buga, Valle del Cauca;3.8946048;-76.3055772;1
